Question,A,B,C,D
Công nghệ nào giúp tập trung tín hiệu và tăng hiệu quả sử dụng phổ tần trong 5G?,Edge Computing,Network Function Virtualization,Beamforming,TTL
"Hãy mô tả đầy đủ các thành phần kiến trúc chính của mạng 5G, phương pháp triển khai và các cơ chế quản lý dịch vụ & bảo mật, đồng thời nêu rõ vai trò của network slicing và điện toán biên (MEC).","Thành phần: RAN (gNodeB, Massive MIMO, beamforming), 5G Core (SBA, network slicing), Edge Computing (MEC); triển khai: khảo sát tần số, small cell, beamforming, container hóa; quản lý: QoS cho eMBB/URLLC/mMTC, bảo mật đa lớp, AI giám sát; network slicing tách mạng phục vụ từng dịch vụ; MEC giảm độ trễ <1 ms cho ứng dụng thời gian thực.","Thành phần: chỉ RAN và 5G Core, MEC chỉ dùng cho lưu trữ dữ liệu; network slicing chỉ để giảm chi phí năng lượng.","Triển khai chủ yếu dựa vào 4G nâng cấp, không cần MEC; network slicing dùng cho tăng băng thông chung, không tách dịch vụ.","Kiến trúc tập trung vào core, bỏ qua RAN và MEC; network slicing chỉ áp dụng cho IoT, không liên quan dịch vụ băng thông cao. TD070"
Phương pháp nào giúp giảm chi phí đầu tư và cho phép nhiều nhà cung cấp thiết bị tham gia triển khai hạ tầng 5G?,Triển khai thuần Cloud,Sử dụng duy nhất nhà mạng quốc gia,Chỉ dùng mmWave,Kiến trúc Open RAN
"Trong quản lý chất lượng dịch vụ 5G, nhóm dịch vụ nào phù hợp nhất cho truyền video 8K và VR?",URLLC,eMBB,mMTC,Network Slicing
Giao thức nào thường được dùng cho thiết bị IoT tiết kiệm băng thông và nhẹ?,HTTP,MQTT,FTP,SNMP
"Theo tài liệu Public_071, phương pháp nào cho phép cập nhật firmware hàng loạt mà không cần tiếp cận vật lý thiết bị?",Manual Update,Secure Boot,OTA (Over-the-Air),Static Patching
"Trình bày kiến trúc đa lớp và quy trình quản lý mạng IoT quy mô hàng triệu thiết bị, đồng thời giải thích cách bảo mật đa tầng (từ thiết bị đến truyền thông) và cơ chế giám sát–phản ứng sự cố.","Kiến trúc gồm Device–Network–Edge/Cloud; quản lý thiết bị với provisioning, OTA update, phân nhóm; bảo mật gồm secure boot, mã hóa TLS/DTLS, xác thực hai chiều, IDS/IPS học máy; giám sát big data bằng Spark/Flink, dashboard Grafana; phản ứng cách ly thiết bị nghi ngờ.","Chỉ cần lớp mạng và cloud, bỏ qua bảo mật phần cứng; bảo mật truyền thông chủ yếu là VPN; giám sát bằng log thủ công.","Tập trung vào lớp thiết bị, bỏ qua Edge/Cloud; bảo mật bằng mật khẩu tĩnh; không cần hệ thống phát hiện xâm nhập.","Kiến trúc 2 lớp (thiết bị–cloud) đủ; bảo mật chỉ cần TLS cơ bản, không cần phân tích dữ liệu lớn."
"Để bảo vệ dữ liệu trong quá trình truyền, lớp bảo mật nào nên được áp dụng cho kết nối TCP/UDP?",AES lưu trữ nội bộ,TLS/DTLS,WPA2,Blockchain
Việc phân nhóm thiết bị IoT theo vị trí địa lý và mức độ quan trọng giúp đạt mục tiêu chính nào?,"Ưu tiên cập nhật, vá lỗi hoặc triển khai dịch vụ theo nhu cầu cụ thể",Giảm chi phí cấp chứng chỉ số,Tăng tốc độ truyền dữ liệu,Loại bỏ hoàn toàn việc giám sát
"Theo tài liệu Public_072, DRL là sự kết hợp của những lĩnh vực nào?",Học bán giám sát và Deep Learning,Học Tăng Cường và Deep Learning,Mô hình hóa thống kê và RL,Cảm biến và IoT
Thành phần nào đóng vai trò đưa ra hành động trong DRL?,Environment,Reward,Agent,State
"Mô tả quy trình xây dựng hệ thống DRL cho robot công nghiệp từ kiến trúc thành phần đến thuật toán, đồng thời nêu các ứng dụng tiêu biểu và thách thức triển khai thực tế.","Kiến trúc: Agent–Environment–State–Action–Reward; thuật toán DQN, Policy Gradient, Actor-Critic, PPO kết hợp CNN/LSTM; ứng dụng lắp ráp, kho thông minh, hàn sơn, bảo trì; triển khai qua mô phỏng (Gazebo, Isaac Gym), transfer learning, reward shaping, ràng buộc an toàn; thách thức gồm chi phí tính toán, tổng quát hóa, tích hợp cảm biến, quản lý log.","Tập trung vào DQN duy nhất, không cần kiến trúc Agent–Environment; ứng dụng chỉ trong hàn sơn; thách thức chính là nguồn điện robot.","Chỉ cần Policy Gradient, bỏ qua các bước mô phỏng; không cần transfer learning; ứng dụng chủ yếu là điều khiển drone.",Quy trình: Agent và Environment gộp chung; ứng dụng chủ yếu là game; thách thức chỉ về tốc độ mạng.
Ưu điểm lớn nhất của việc mô phỏng trước khi triển khai trên robot thực là gì?,Giảm rủi ro và chi phí thử nghiệm thực tế,Tăng tốc độ phần cứng,Giảm nhu cầu cảm biến,Loại bỏ hoàn toàn nhu cầu dữ liệu
"Giả sử một robot đã học thành công trong môi trường mô phỏng nhưng thất bại khi hoạt động thực tế, nguyên nhân hợp lý nhất là gì?",Do lỗi phần cứng động cơ,Do mô hình thiếu khả năng tổng quát và chênh lệch môi trường,Do thuật toán DQN quá mạnh,Do thiếu
"Theo tài liệu Public_073, ưu điểm nổi bật nhất của Federated Learning trong y tế là gì?",Giảm chi phí lưu trữ dữ liệu,Bảo mật và giữ dữ liệu tại chỗ,Huấn luyện nhanh hơn so với mô hình tập trung,Giảm độ phức tạp của mô hình
Thuật toán tổng hợp trọng số phổ biến trong FL là gì?,Backpropagation,Gradient Clipping,Federated Averaging (FedAvg),Secure Hash
"Hãy phân tích nguyên lý hoạt động của Federated Learning và các kỹ thuật bảo mật nâng cao, đồng thời nêu lợi ích và thách thức khi áp dụng trong môi trường y tế đa cơ sở.","Nguyên lý: server khởi tạo mô hình → client huấn luyện cục bộ → gửi trọng số → server tổng hợp FedAvg → lặp; bảo mật: Differential Privacy, SMPC, Homomorphic Encryption, TEE; lợi ích: bảo vệ quyền riêng tư, đa dạng dữ liệu, tuân thủ pháp lý; thách thức: dữ liệu không đồng nhất, kết nối mạng, chi phí cục bộ, cân bằng đóng góp.","Chỉ cần server huấn luyện trung tâm, bỏ qua huấn luyện cục bộ; bảo mật chỉ cần SSL; thách thức chủ yếu là dung lượng ổ cứng.",FL yêu cầu chia sẻ dữ liệu thô cho server; bảo mật bằng mật khẩu; thách thức chính là số lượng bệnh viện ít.,Hoạt động: các bên trao đổi dữ liệu đầy đủ; bảo mật dựa trên VPN; không gặp vấn đề dữ liệu không đồng nhất.
Thách thức lớn nhất khi các bệnh viện có đặc điểm dữ liệu khác nhau là gì?,Độ trễ mạng,Quá nhiều client,Thiếu GPU,Dữ liệu không đồng nhất (Non-IID)
"Giả sử một bệnh viện có hạ tầng yếu, vấn đề chính khi tham gia FL là gì?",Thiếu dữ liệu bệnh nhân,Quá nhiều quy định pháp lý,Chi phí tính toán cục bộ và thiếu tài nguyên,Không thể truyền trọng số
Đơn vị thông tin cơ bản trong điện toán lượng tử là gì?,Bit,Qubit,Photon,Gate
Thuật toán nào thường dùng để tối ưu hóa tổ hợp trong mạng 6G?,Backpropagation,Gradient Descent,Quantum Approximate Optimization Algorithm (QAOA),PageRank
"Trình bày cách điện toán lượng tử hỗ trợ giải các bài toán tối ưu trong mạng 6G, mô tả các thuật toán lượng tử tiêu biểu và kiến trúc triển khai thực tế.","Ứng dụng Quantum Computing cho phân bổ phổ tần, định tuyến, quản lý năng lượng, lập lịch; thuật toán QAOA, VQE, Grover, Quantum Annealing; kiến trúc hybrid quantum-classical, cloud-quantum, edge computing; lợi ích: tốc độ tính toán, tiết kiệm năng lượng, mở rộng thiết bị IoT; thách thức: phần cứng qubit hạn chế, chuẩn giao thức mới.","Chỉ dùng thuật toán Grover cho tất cả bài toán; kiến trúc thuần lượng tử, bỏ qua phần cổ điển; không có thách thức hạ tầng.",6G chỉ cần máy tính cổ điển; thuật toán lượng tử không liên quan tối ưu mạng.,Quantum chỉ dùng để mã hóa; bài toán tối ưu vẫn do AI cổ điển giải.
Hình thức triển khai nào cho phép trạm gốc 6G sử dụng tài nguyên lượng tử từ xa?,Cloud-Quantum,On-Premise Only,Blockchain,Satellite Direct
"Theo tài liệu Public_074, giải pháp khả thi nhất cho mạng lượng tử khi chưa đủ qubit là gì?",Bỏ triển khai 6G,Chuyển sang 5G,Mô hình lai kết hợp tính toán cổ điển và lượng tử,Dừng tối ưu hóa
Pin nào sử dụng chất điện phân rắn thay cho lỏng?,Lithium-Sulfur,Pin Thể Rắn (Solid-State),Pin Sodium-Ion,Pin Lưu Lượng
Ưu điểm nổi bật của pin Sodium-Ion là gì?,Mật độ năng lượng cao hơn Li-ion,An toàn tuyệt đối,"Nguyên liệu rẻ, dồi dào, hoạt động tốt ở nhiệt độ thấp",Chu kỳ sạc vô hạn
"Hãy trình bày các công nghệ pin thế hệ mới cho lưới điện thông minh, nêu ưu nhược điểm từng loại và vai trò của AI trong khám phá vật liệu và điều độ năng lượng.","Công nghệ: pin thể rắn, sodium-ion, flow battery, lithium-sulfur; ưu điểm: mật độ cao, chi phí thấp, tuổi thọ dài; AI hỗ trợ tìm vật liệu xốp đa hóa trị, dự đoán tuổi thọ, điều độ sạc thông minh; tích hợp lưới điện qua microgrid, điều độ năng lượng, dự báo nguồn tái tạo; thách thức: chi phí, chuỗi cung ứng, tái chế.",Chỉ có pin lithium-ion cải tiến; AI chỉ để điều khiển sạc/xả; không cần công nghệ mới.,Pin flow battery là lựa chọn duy nhất; AI không liên quan phát triển vật liệu.,"Công nghệ pin mới chỉ tập trung vào giảm chi phí, không liên quan lưới điện thông minh."
Thách thức lớn của pin Li-S là gì?,Sự hình thành polysulfide gây suy giảm dung lượng,Giá nguyên liệu cao,Khó tái chế,Không chịu được nhiệt độ cao
Lợi ích chính của việc tích hợp pin vào lưới điện thông minh là gì?,Giảm bức xạ điện từ,Ổn định điện áp và hỗ trợ năng lượng tái tạo,Tăng kích thước trạm biến áp,Loại bỏ nhu cầu điện lưới
Phương pháp truyền thống nào đã trở nên kém hiệu quả trước tấn công mạng hiện đại?,Dựa trên chữ ký (Signature-based),Blockchain,Quantum Firewall,Federated IDS
Mô hình AI nào được thảo luận trong tài liệu Public_076 phù hợp phát hiện tấn công chuỗi thời gian như DDoS?,CNN,GAN,RNN/LSTM,PCA
"Trình bày kiến trúc tổng thể và các kỹ thuật AI chủ chốt trong hệ thống phát hiện – ứng phó sự cố an ninh mạng, đồng thời giải thích vai trò của học sâu và khả năng phản ứng tự động.","Kiến trúc: tầng thu thập (syslog, gói tin), phân tích ML (supervised, unsupervised, semi/self, RL), phát hiện thời gian thực (IDS/IPS), phản ứng SOAR; AI: DNN, RNN/LSTM/GRU, GNN, GAN; phản ứng: tự cách ly thiết bị, cập nhật tường lửa, giảm MTTD xuống vài giây.","Hệ thống chỉ cần signature-based, không cần học sâu; phản ứng thủ công của SOC.","Chỉ sử dụng RNN cho toàn bộ pipeline, bỏ qua GAN/GNN; phản ứng bằng email thông báo.",Kiến trúc 2 tầng: thu thập và cảnh báo; không tích hợp SOAR; AI chỉ dùng để phân loại log.
Thách thức nào đặc thù khi huấn luyện AI cho an ninh mạng?,Tốc độ đường truyền,Thiếu GPU,Nhiễu tín hiệu mạng,Thiếu dữ liệu gắn nhãn và tấn công đối kháng
"Theo tài liệu Public_076, giải pháp nào cho phép nhiều tổ chức cùng huấn luyện mô hình mà không chia sẻ dữ liệu thô?",Federated Learning,Gradient Boosting,Edge AI,Static Firewall
Ưu điểm cốt lõi của blockchain trong chuỗi cung ứng là gì?,Tăng dung lượng lưu trữ,Minh bạch và không thể thay đổi dữ liệu,Giảm giá sản phẩm,Tự động tạo mã QR
"Trong công nghệ blockchain, thành phần nào đảm bảo các khối không thể chỉnh sửa?",Smart Contract,IoT Sensor,Hàm băm (Hash),Edge Gateway
"Mô tả nguyên lý hoạt động của blockchain và cách nó giải quyết minh bạch, chống giả mạo trong chuỗi cung ứng, đồng thời nêu thách thức triển khai.","Nguyên lý: block–hash–consensus (PoS, PBFT, PoA), smart contract tự động thanh toán; ứng dụng: truy xuất nguồn gốc, chống giả, tối ưu vận chuyển, kiểm toán; thách thức: mở rộng, bảo mật dữ liệu nhạy cảm, chuẩn hóa, tích hợp hệ thống hiện hữu.",Blockchain chỉ dùng cho tiền điện tử; không áp dụng truy xuất nguồn gốc; thách thức chủ yếu là chi phí điện năng khai thác.,"Chỉ cần mã QR để truy xuất, không cần blockchain; thách thức chính là đào tạo nhân sự.",Dùng cơ sở dữ liệu quan hệ thay blockchain; thách thức chính là tốc độ mạng.
Giải pháp nào giúp bảo vệ dữ liệu nhạy cảm trên blockchain?,Proof of Work,Open Wi-Fi,Public Key Publication,Mã hóa và quyền truy cập theo vai trò
"Theo tài liệu Public_077, công nghệ nào kết hợp với blockchain để tự động ghi dữ liệu môi trường?",AI,DNS,IoT Sensor,Static VPN
Điện toán biên giải quyết vấn đề độ trễ trong nhà máy thông minh như thế nào?,Tăng dung lượng lưu trữ,Giảm giá thành thiết bị,Độ trễ cao khi gửi dữ liệu về đám mây,Loại bỏ hoàn toàn nhu cầu mạng
Ưu điểm nổi bật nhất của Edge Computing so với Cloud Computing truyền thống là gì?,Bảo mật tuyệt đối 100%,"Xử lý dữ liệu gần nguồn phát sinh, giảm độ trễ",Loại bỏ nhu cầu AI,Giảm kích thước cảm biến
"Giải thích nguyên lý hoạt động, kiến trúc và lợi ích của Edge Computing trong các ứng dụng thời gian thực công nghiệp, kèm các ví dụ tiêu biểu.","Nguyên lý: xử lý dữ liệu tại biên (sensor→edge→cloud), giảm độ trễ, tiết kiệm băng thông, tăng bảo mật; kiến trúc 3 tầng thiết bị–biên–đám mây; ứng dụng: robot hợp tác, bảo trì dự đoán, kiểm soát chất lượng, AR bảo dưỡng, quản lý năng lượng.","Edge chỉ để lưu trữ tạm dữ liệu, mọi xử lý vẫn ở cloud; không cải thiện bảo mật.",Hoạt động theo mô hình thuần cloud; edge chỉ làm nhiệm vụ chuyển tiếp dữ liệu.,"Chỉ phù hợp với video streaming, không áp dụng công nghiệp."
"Nếu kết nối Internet bị gián đoạn, hệ thống Edge sẽ phản ứng thế nào?",Vẫn tiếp tục hoạt động và xử lý cục bộ,Ngừng hoàn toàn,Chỉ gửi dữ liệu khi có mạng,Tự động chuyển sang 3G
Lợi ích bảo mật lớn nhất của Edge Computing trong môi trường sản xuất là gì?,Tự động mã hóa khi truyền qua vệ tinh,Giảm chi phí nhân sự bảo mật,"Giữ dữ liệu nhạy cảm tại chỗ, hạn chế rò rỉ",Chỉ cho phép dùng Wi-Fi nội bộ
Điểm mạnh lớn nhất của CNN trong phân tích ảnh y tế là gì?,Dựa vào đặc trưng thủ công,Tự động học đặc trưng từ dữ liệu ảnh,Giảm chi phí GPU,Tăng số lớp mạng
Mạng nào chuyên biệt cho bài toán phân đoạn ảnh y tế?,ResNet,DenseNet,U-Net,AlexNet
"Phân tích nguyên lý, cấu trúc mạng CNN và lợi ích khi áp dụng trong phân tích ảnh y tế, nêu các ứng dụng điển hình.","Nguyên lý: convolution, pooling, fully connected, shared weights, local receptive field; lợi ích: trích xuất đặc trưng tự động, bất biến vị trí, tổng quát cao; ứng dụng: chẩn đoán X-quang, MRI/CT, phân đoạn polyp, nhận diện tế bào, hỗ trợ phẫu thuật thông minh.",CNN chỉ học đặc trưng thủ công; ứng dụng duy nhất là phân loại ảnh tự nhiên.,"Chỉ dùng pooling, bỏ convolution; áp dụng chính trong xử lý tín hiệu âm thanh.",CNN không liên quan y tế; chỉ áp dụng trong NLP.
Thách thức lớn khi triển khai mạng nơ-ron tích chập (CNN) trong bệnh viện là gì?,Thiếu dữ liệu gắn nhãn và chi phí tính toán cao,Tốc độ xử lý chậm hơn con người,Không thể kết hợp với AI khác,Bác sĩ không thể xem ảnh
Một xu hướng mới giúp mạng nơ-ron tích chập đảm bảo quyền riêng tư dữ liệu y tế là gì?,Blockchain,Federated Learning,Edge AI,GAN
Lợi ích lớn nhất của Generative AI trong thiết kế thuốc là gì?,Giảm giá thành nguyên liệu,Tạo nhanh phân tử mới với đặc tính mong muốn,Thay thế hoàn toàn thử nghiệm lâm sàng,Loại bỏ nhu cầu dữ liệu
"Theo tài liệu Public_080, mô hình nào thường dùng để sinh phân tử mới?",CNN,RNN,Variational Autoencoder hoặc GAN,SVM
"Trình bày vai trò của Generative AI và các mô hình điển hình trong thiết kế thuốc, đồng thời nêu ứng dụng thực tế.","Mô hình: GAN, VAE, Diffusion, transformer LLM; cơ chế: tạo phân tử mới, reinforcement learning tối ưu đặc tính dược; ứng dụng: tìm hợp chất kháng virus, kháng sinh Halicin, dự đoán tương tác phân tử; lợi ích: rút ngắn thời gian, giảm chi phí.",Chỉ cần thống kê truyền thống để tìm phân tử; AI không liên quan.,Dùng CNN thay vì mô hình tạo sinh; ứng dụng chính là phân tích ảnh y tế.,"Generative AI chỉ để tạo văn bản marketing, không cho thiết kế thuốc."
Thách thức quan trọng nhất khi đưa phân tử do AI tạo ra vào thực nghiệm là gì?,Quá nhiều GPU cần thiết,Tính bảo mật kém,Không thể tổng hợp hóa học,Cần xác thực thực nghiệm và đánh giá độc tính
Xu hướng nào giúp nhiều tổ chức cùng huấn luyện mô hình AI mà vẫn giữ bí mật dữ liệu hóa học?,Cloud AI,Federated Learning,Blockchain,Reinforcement Learning
Đặc điểm nào khiến GNN phù hợp cho dữ liệu vật liệu?,Cấu trúc dạng ma trận cố định,Cấu trúc dạng đồ thị tự nhiên của nguyên tử và liên kết,Dữ liệu chỉ ở dạng văn bản,Chỉ cần một lớp mạng
"Từ tài liệu Public_081, những ứng dụng nào là điểm mạnh của GNN trong khoa học vật liệu?",Tìm kiếm từ khóa tài liệu,Phân tích tín hiệu âm thanh,Dự đoán tính chất điện và cơ học của hợp chất mới,Tạo văn bản mô tả
"Giải thích cách GNN biểu diễn vật liệu, cơ chế message passing và các ứng dụng trong dự đoán tính chất vật liệu mới.","Biểu diễn: node=nguyên tử, edge=liên kết; message passing nhiều tầng, graph readout tạo vector; mô hình: GCN, GAT, MPNN, SchNet; ứng dụng: pin thế hệ mới, vật liệu siêu dẫn, hợp kim nhẹ, polyme chức năng; lợi ích: khám phá nhanh, tiết kiệm chi phí, tổng quát cao.","GNN chỉ áp dụng mạng xã hội, không dùng trong hóa học.",Chỉ cần RNN để dự đoán vật liệu; không cần graph representation.,"GNN chỉ mô phỏng hình ảnh, không dự đoán tính chất."
Thách thức chính khi dùng GNN trong khám phá vật liệu là gì?,Thiếu cơ sở dữ liệu chất lượng cao và cần xác thực thí nghiệm,GPU quá rẻ,Không cần mô phỏng,Dữ liệu dư thừa
Hướng phát triển tương lai đầy tiềm năng của GNN trong vật liệu là gì?,Tích hợp với AR/VR,Kết hợp với Reinforcement Learning và điện toán lượng tử,Chỉ dùng dữ liệu văn bản,Loại bỏ hoàn toàn thí nghiệm
Tại sao HPC cần thiết cho mô phỏng khí hậu toàn cầu?,Giảm chi phí điện năng,Xử lý lượng tính toán khổng lồ cho mô hình độ phân giải cao,Tạo ảnh vệ tinh,Đơn giản hóa bản đồ địa hình
Thành phần phần cứng cốt lõi nào giúp hệ thống HPC tối ưu hóa xử lý song song?,Ổ cứng SSD,Mạng Wi-Fi,Cụm CPU/GPU kết nối tốc độ cao (InfiniBand),Máy in 3D
"Trình bày kiến trúc HPC và vai trò trong mô phỏng khí hậu, dự báo thời tiết cực đoan, nêu công nghệ hỗ trợ.","Kiến trúc: hàng chục nghìn CPU/GPU, InfiniBand, domain decomposition, Navier–Stokes; ứng dụng: dự báo khí hậu 100 năm, cảnh báo bão/lũ, theo dõi cháy rừng; công nghệ: GPU, ML+HPC, cloud-hybrid, lưu trữ petabyte; lợi ích: tăng độ chính xác, giảm thời gian tính toán.","HPC chỉ là cụm máy chủ nhỏ, không hỗ trợ dự báo khí hậu.",Chỉ dùng CPU đơn lẻ; không cần domain decomposition.,"HPC chỉ áp dụng cho AI, không liên quan mô phỏng khí hậu."
Thách thức lớn nhất về vận hành siêu máy tính khí hậu là gì?,Chi phí đầu tư và tiêu thụ năng lượng cực lớn,Thiếu dữ liệu vệ tinh,Độ chính xác mô hình thấp,Không thể ghép nối dữ liệu
Xu hướng tương lai giúp tăng tốc mô phỏng khí hậu là gì?,Mạng xã hội,Exascale Computing kết hợp AI,Máy tính xách tay mạnh hơn,Giảm độ phân giải mô hình
Đặc điểm nào nổi bật nhất của 6G so với 5G?,Tốc độ 1 Gbps,"Tốc độ terabit/giây và độ trễ dưới 0,1 ms",Chỉ hoạt động trong nhà,Dựa hoàn toàn vào 4G
Dải tần nào sẽ được khai thác chủ yếu trong 6G?,"2,4 GHz",28 GHz,"Terahertz (0,1–10 THz)",5 GHz
"Giải thích đặc trưng cốt lõi của 6G và vai trò AI trong tối ưu và bảo mật mạng, nêu các ứng dụng tiêu biểu.","Đặc trưng: 1 Tbps, độ trễ <0.1 ms, phổ THz, vệ tinh–mặt đất, SDN/NFV; AI: tối ưu phổ tần động, mạng tự trị, dự báo lưu lượng, bảo mật thông minh; ứng dụng: metaverse XR, xe tự hành, y tế từ xa, cảm biến môi trường.","6G chỉ nâng cấp nhẹ từ 5G, không tích hợp AI; ứng dụng chính là gọi điện.","AI chỉ cho chatbot, không liên quan tối ưu mạng.","6G không cần phổ THz, không dùng cho metaverse."
Ứng dụng nào cần 6G để đạt độ trễ siêu thấp?,Phẫu thuật robot thời gian thực,Gửi email,Phát thanh FM,Lưu trữ đám mây tĩnh
Thách thức chính khi triển khai 6G là gì?,Dễ tích hợp 4G,Tiêu thụ năng lượng lớn và chi phí hạ tầng cao,Giảm băng thông,Không đủ tần số 4G
Cảm biến nào cung cấp bản đồ 3D chính xác cho xe tự hành?,Camera RGB,LiDAR,Siêu âm,IMU
Kỹ thuật nào giúp hợp nhất dữ liệu từ nhiều cảm biến khác nhau nhằm nâng cao độ chính xác và độ tin cậy của thông tin?,CNN,GAN,Sensor Fusion,Tokenization
"Mô tả các thành phần cảm biến, thuật toán và thách thức của hệ thống thị giác máy tính thế hệ tiếp theo cho xe tự hành.","Thành phần: camera RGB/IR, LiDAR, radar mmWave, sensor fusion; thuật toán: CNN, RNN, object detection, semantic segmentation, tracking; thách thức: môi trường đa dạng, thời tiết khắc nghiệt, ánh sáng yếu; ứng dụng: điều khiển cao tốc, đỗ xe tự động, phẫu thuật robot từ xa.",Chỉ cần camera đơn; thuật toán đơn giản; không cần sensor fusion.,LiDAR thay thế hoàn toàn camera; thuật toán chỉ cần RNN.,"Hệ thống chỉ phát hiện vật thể tĩnh, không theo dõi chuyển động."
Thách thức quan trọng nhất đối với xử lý thời gian thực trong xe tự hành là gì?,Độ trễ cực thấp đòi hỏi phần cứng mạnh,Khó lắp đặt camera,Mạng 5G không đủ,Cần nhiều tài xế dự phòng
"Theo tài liệu Public_084, xu hướng tương lai nào cho phép xe giao tiếp trực tiếp với hạ tầng giao thông?",Blockchain,Vehicle-to-Everything (V2X),Federated Learning,Data Augmentation
Kỹ thuật nào cho phép robot học từ phản hồi môi trường để tối ưu hành động?,Học giám sát,Học tăng cường (Reinforcement Learning),Phân cụm K-means,Mạng nơ-ron hồi tiếp
Cảm biến nào giúp robot điều chỉnh lực cầm nắm chính xác?,Camera RGB,LiDAR,Radar mmWave,Cảm biến xúc giác và lực
"Nêu chi tiết cách các cơ chế học của robot công nghiệp tự học được áp dụng để cải thiện thuật toán lập kế hoạch đường đi trong môi trường nhà máy thông minh, kèm theo các ví dụ thực tiễn.","Thuật toán: A*, D*, PRM, ZMP, PID; học tăng cường, học chuyển giao, thị giác 3D, cảm biến lực, Edge AI; ứng dụng: lắp ráp linh kiện, hàn sơn, đóng gói, bảo trì, cobots; lợi ích: linh hoạt, an toàn, tối ưu sản xuất.",Robot chỉ cần lập trình cứng; không dùng thuật toán tìm đường; không cần Edge AI.,"Chỉ dùng PID, không áp dụng học tăng cường.","Robot chỉ làm đóng gói, không thể tự học hay cộng tác."
Thách thức quan trọng khi triển khai robot tự học là gì?,Giá điện tăng,Thiếu đèn tín hiệu,Đảm bảo an toàn tuyệt đối khi hoạt động cùng con người,Giới hạn chiều cao trần nhà
Phương pháp nào giảm chi phí huấn luyện robot trong thế giới thực?,Thuật toán di truyền,Simulation-to-Real Transfer,Học có giám sát thuần túy,Điều khiển PID
"Theo tài liệu Public_086, lợi ích lớn nhất của AI trong quản lý năng lượng tái tạo là gì?",Giảm bức xạ mặt trời,Dự báo và tối ưu phân phối năng lượng theo thời gian thực,Tăng tiêu thụ nhiên liệu hóa thạch,Tăng nhiệt độ vận hành pin
Công nghệ nào cho phép xử lý dữ liệu nhanh ngay tại nguồn phát sinh?,Blockchain,Cloud-only,Điện toán biên (Edge Computing),AR/VR
"Phân tích vai trò của AI trong dự báo, tối ưu và điều phối năng lượng tái tạo cho thành phố thông minh, đồng thời nêu rõ hạ tầng công nghệ hỗ trợ.","AI dự báo sản lượng điện (Deep Learning dựa thời tiết), tối ưu phân phối và lưu trữ pin, điều khiển microgrid tự động; hạ tầng: mạng IoT, edge computing, cloud, giao thức mở","AI chỉ dùng cho dự báo ngắn hạn, không liên quan tối ưu lưu trữ","AI chỉ thu thập dữ liệu, không can thiệp vận hành","AI chỉ dùng trong hộ gia đình, không áp dụng cho lưới điện thành phố"
Thách thức chính trong việc triển khai AI quản lý năng lượng tái tạo là gì?,Bảo mật dữ liệu và biến động thời tiết khó dự báo,Thiếu cảm biến IoT,Giá năng lượng giảm,Không cần lưu trữ
Xu hướng nào cho phép giao dịch điện năng trực tiếp giữa các hộ dân?,Big Data,Blockchain kết hợp AI,Digital Twin,Học có giám sát
Yếu tố chính khiến AI quan trọng trong giám sát chất lượng không khí đô thị?,Tăng tốc độ gió,Dự báo và phân tích dữ liệu môi trường khổng lồ theo thời gian thực,Giảm độ ẩm,Tạo ảnh 3D
Công nghệ nào kết hợp dữ liệu cảm biến và vệ tinh để dự đoán ô nhiễm?,Blockchain,Edge AI,Mạng 5G,Học sâu (Deep Learning) với dữ liệu đa nguồn
Mô tả kiến trúc cảm biến và vai trò của trí tuệ nhân tạo (AI) trong dự báo và phát hiện bất thường về chất lượng không khí đô thị.,"Mạng cảm biến IoT + dữ liệu vệ tinh, AI (LSTM/Transformer) dự báo PM2.5/O₃, phát hiện cháy rừng, rò rỉ hóa chất, tối ưu giao thông & năng lượng, đề xuất chính sách giảm ô nhiễm","Chỉ cần cảm biến đơn lẻ, không cần AI","AI chỉ dự báo ngắn hạn, không phát hiện bất thường","Hệ thống chỉ cảnh báo, không tích hợp đề xuất chính sách"
"Theo tài liệu Public_087, thách thức lớn khi triển khai hệ thống AI giám sát không khí là gì?",Độ chính xác và bảo mật dữ liệu cảm biến,Thiếu ánh sáng mặt trời,Không có dữ liệu vệ tinh,Chi phí pin mặt trời
Những công nghệ hoặc phương pháp luận tương lai nào hỗ trợ việc thử nghiệm chính sách môi trường trong mô hình ảo?,IoT giá rẻ,Digital Twin cho thành phố,Bluetooth 5.0,Máy in 3D
Lợi thế lưu trữ của DNA so với ổ cứng truyền thống là gì?,Tốc độ đọc nhanh hơn GPU,"Mật độ lưu trữ cực cao, lên đến hàng trăm petabyte/gram",Ít yêu cầu làm mát,Không cần giải mã
Quá trình nào trong DNA đóng vai trò như cổng logic trong tính toán sinh học?,Sao chép tế bào,Quang hợp,Phản ứng lai ghép và enzyme cắt,Quá trình phiên mã RNA
